Id,PostTypeId,CreationDate,Tags
"53361757","2","2018-11-18 14:05:28",""
"53361758","1","2018-11-18 14:05:32","<javascript><firebase><firebase-authentication><google-signin><firebaseui>"
"53361760","1","2018-11-18 14:05:39","<c++><class><constructor><header>"
"53361762","1","2018-11-18 14:05:47","<reactjs><redux>"
"53361763","1","2018-11-18 14:05:55","<javafx><checkbox><tableview>"
"53361764","1","2018-11-18 14:06:01","<aws-lambda><amazon-cloudformation><amazon-cloudwatchlogs><aws-sam>"
"53361765","1","2018-11-18 14:06:04","<python><c++><c><python-3.x>"
"53361766","1","2018-11-18 14:06:04","<python><text><printing>"
"53361767","2","2018-11-18 14:06:18",""
"53361770","2","2018-11-18 14:06:45",""
"53361771","1","2018-11-18 14:06:57","<python-3.x><debugging><visual-studio-code>"
"53361774","2","2018-11-18 14:07:10",""
"53361775","2","2018-11-18 14:07:18",""
"53361777","2","2018-11-18 14:07:48",""
"53361779","2","2018-11-18 14:08:08",""
"53361781","1","2018-11-18 14:08:19","<angular>"
"53361783","1","2018-11-18 14:08:32","<javascript>"
"53361784","1","2018-11-18 14:08:52","<ios><swift><uitableview><uiscrollview><uitextview>"
"53361785","1","2018-11-18 14:09:01","<java><file><arraylist>"
"53361786","2","2018-11-18 14:09:01",""
"53361787","2","2018-11-18 14:09:04",""
"53361789","1","2018-11-18 14:09:14","<javascript><html>"
"53361790","2","2018-11-18 14:09:18",""
"53361792","1","2018-11-18 14:09:57","<linux><asp.net-core><azure-active-directory><asp.net-core-2.0>"
"53361793","2","2018-11-18 14:09:58",""
"53361794","1","2018-11-18 14:09:59","<r><string><vector>"
"53361795","1","2018-11-18 14:10:26","<c#><registry>"
"53361797","2","2018-11-18 14:10:48",""
"53361798","2","2018-11-18 14:10:48",""
"53361799","2","2018-11-18 14:10:53",""
"53361800","2","2018-11-18 14:11:10",""
"53361801","2","2018-11-18 14:11:14",""
"53361802","2","2018-11-18 14:11:18",""
"53361803","2","2018-11-18 14:11:26",""
"53361804","1","2018-11-18 14:11:27","<python>"
"53361805","2","2018-11-18 14:11:29",""
"53361806","1","2018-11-18 14:11:34","<assembly><x86-64>"
"53361807","2","2018-11-18 14:11:39",""
"53361809","1","2018-11-18 14:11:59","<php><date><createfile>"
"53361810","2","2018-11-18 14:12:16",""
"53361812","2","2018-11-18 14:12:38",""
"53361814","1","2018-11-18 14:12:48","<android><google-maps><kotlin>"
"53452948","2","2018-11-23 21:07:00",""
"53452949","2","2018-11-23 21:07:08",""
"53452950","2","2018-11-23 21:07:10",""
"53452951","2","2018-11-23 21:07:17",""
"53452952","2","2018-11-23 21:07:18",""
"53452953","2","2018-11-23 21:07:42",""
"53452954","2","2018-11-23 21:07:44",""
"53452955","1","2018-11-23 21:07:52","<c#><smartcard><x509>"
"53452956","1","2018-11-23 21:08:04","<python><arrays>"
"53452958","2","2018-11-23 21:08:46",""
"53452959","1","2018-11-23 21:09:04","<syntax><comparison><vhdl><variable-assignment><ambiguous>"
"53452960","1","2018-11-23 21:09:27","<c#><formatting><resharper>"
"53452961","1","2018-11-23 21:09:29","<string><assembly><reverse><x86-16>"
"53452962","1","2018-11-23 21:09:31","<image><api><object><coordinates><analysis>"
"53452966","1","2018-11-23 21:09:50","<javascript><reactjs><typescript><jsx>"
"53452968","2","2018-11-23 21:10:06",""
"53452969","2","2018-11-23 21:10:22",""
"53452970","1","2018-11-23 21:10:22","<mariadb><database-performance>"
"53452971","1","2018-11-23 21:10:39","<javascript><html><iframe><printing><dojo>"
"53452972","2","2018-11-23 21:10:53",""
"53452973","1","2018-11-23 21:10:55","<php><datetime><jira>"
"53452974","2","2018-11-23 21:11:18",""
"53452975","1","2018-11-23 21:11:18","<java><android><google-maps>"
"53452976","2","2018-11-23 21:11:38",""
"53452977","2","2018-11-23 21:11:43",""
"53452978","2","2018-11-23 21:11:45",""
"53452979","2","2018-11-23 21:11:47",""
"53452983","2","2018-11-23 21:12:25",""
"53452984","2","2018-11-23 21:12:36",""
"53452985","1","2018-11-23 21:12:45","<java><netbeans-8>"
"53452986","2","2018-11-23 21:12:46",""
"53452987","1","2018-11-23 21:12:47","<ruby-on-rails><ruby-on-rails-5>"
"53452989","2","2018-11-23 21:13:04",""
"53452990","2","2018-11-23 21:13:06",""
"53452991","2","2018-11-23 21:13:07",""
"53452992","2","2018-11-23 21:13:19",""
"53452993","2","2018-11-23 21:13:33",""
"53452994","2","2018-11-23 21:13:36",""
"53452995","2","2018-11-23 21:13:46",""
"53452997","2","2018-11-23 21:13:49",""
"53453000","2","2018-11-23 21:14:02",""
"53453003","2","2018-11-23 21:14:10",""
"53453004","2","2018-11-23 21:14:10",""
"53453006","1","2018-11-23 21:14:30","<java><spring-mvc><spring-boot><swagger-2.0>"
"53453007","2","2018-11-23 21:14:37",""
"53453008","2","2018-11-23 21:14:38",""
"53453009","1","2018-11-23 21:14:42","<sql><oracle><pivot><oracle12c>"
"53453011","2","2018-11-23 21:14:58",""
"53453012","2","2018-11-23 21:15:06",""
"53453013","2","2018-11-23 21:15:08",""
"53453014","1","2018-11-23 21:15:09","<c#><unity3d><3d>"
"53548295","2","2018-11-29 22:04:21",""
"53548296","1","2018-11-29 22:04:25","<javascript><html>"
"53548297","2","2018-11-29 22:04:35",""
"53548298","2","2018-11-29 22:04:41",""
"53548299","1","2018-11-29 22:04:42","<rx-java2>"
"53548300","2","2018-11-29 22:04:43",""
"53548301","2","2018-11-29 22:04:47",""
"53548303","2","2018-11-29 22:04:49",""
"53548305","2","2018-11-29 22:05:06",""
"53548306","2","2018-11-29 22:05:11",""
"53548308","1","2018-11-29 22:05:20","<scala><apache><apache-flink>"
"53548309","2","2018-11-29 22:05:21",""
"53548310","1","2018-11-29 22:05:21","<javascript><arrays><recursion><ecmascript-6>"
"53548311","2","2018-11-29 22:05:28",""
"53548312","1","2018-11-29 22:05:32","<javascript><python><api>"
"53548314","2","2018-11-29 22:05:56",""
"53548315","2","2018-11-29 22:05:58",""
"53548316","1","2018-11-29 22:05:58","<c++><intellij-idea><clion>"
"53548318","2","2018-11-29 22:06:07",""
"51149581","1","2018-07-03 08:08:23","<javascript><src>"
"51149583","2","2018-07-03 08:08:30",""
"51149584","2","2018-07-03 08:08:32",""
"51149586","2","2018-07-03 08:08:44",""
"51149587","2","2018-07-03 08:08:45",""
"51149588","2","2018-07-03 08:08:46",""
"51149589","1","2018-07-03 08:08:47","<python-3.x><scikit-learn><k-means>"
"51149590","1","2018-07-03 08:08:49","<uwp><uwp-xaml>"
"51149591","2","2018-07-03 08:08:54",""
"51149592","1","2018-07-03 08:09:14","<swift>"
"51149593","1","2018-07-03 08:09:16","<c#>"
"51149594","2","2018-07-03 08:09:17",""
"51149595","1","2018-07-03 08:09:17","<sql><sql-server><count>"
"51149596","1","2018-07-03 08:09:28","<android><android-layout><android-progressbar>"
"51149597","1","2018-07-03 08:09:33","<git><fetch><git-checkout>"
"51149598","1","2018-07-03 08:09:43","<javascript><html><reactjs><react-native>"
"51149599","1","2018-07-03 08:09:43","<django><django-rest-framework>"
"51149600","1","2018-07-03 08:09:48","<c#><wpf><xaml><window><fullscreen>"
"51149603","1","2018-07-03 08:09:56","<java><httpurlconnection><classcastexception><powermockito><urlconnection>"
"51149604","2","2018-07-03 08:09:56",""
"51149605","2","2018-07-03 08:09:59",""
"51149606","2","2018-07-03 08:10:00",""
"51149607","2","2018-07-03 08:10:01",""
"51149608","1","2018-07-03 08:10:04","<jquery><hide>"
"51149609","1","2018-07-03 08:10:11","<ruby><algorithm><matching><bipartite>"
"51149610","1","2018-07-03 08:10:14","<.net><vb.net><arguments>"
"51149611","2","2018-07-03 08:10:21",""
"51149612","1","2018-07-03 08:10:24","<php><mysql><arrays><json><multidimensional-array>"
"51149613","2","2018-07-03 08:10:27",""
"51149614","2","2018-07-03 08:10:27",""
"51149615","2","2018-07-03 08:10:30",""
"51149616","2","2018-07-03 08:10:31",""
"51149617","2","2018-07-03 08:10:36",""
"51149618","2","2018-07-03 08:10:39",""
"51149619","2","2018-07-03 08:10:40",""
"51149621","1","2018-07-03 08:10:49","<java><spring><web><model-view-controller><resources>"
"51149622","1","2018-07-03 08:10:58","<asp.net-mvc><model-view-controller><bootstrap-modal>"
"51149624","2","2018-07-03 08:11:01",""
"51149625","1","2018-07-03 08:11:11","<ios><swift><uisegmentedcontrol>"
"51149626","1","2018-07-03 08:11:13","<c#><unity3d>"
"51149628","1","2018-07-03 08:11:14","<android><firebase><push-notification><firebase-cloud-messaging>"
"51149629","2","2018-07-03 08:11:15",""
"51149630","2","2018-07-03 08:11:16",""
"51149631","2","2018-07-03 08:11:19",""
"51149632","1","2018-07-03 08:11:22","<wso2><wso2esb>"
"51149634","1","2018-07-03 08:11:26","<spring><spring-boot>"
"51149635","2","2018-07-03 08:11:26",""
"51149638","1","2018-07-03 08:11:40","<python><pip>"
"51149639","1","2018-07-03 08:11:42","<asp.net><asp.net-core-mvc><asp.net-core-2.0>"
"51149640","1","2018-07-03 08:11:51","<ios><nsdate><nsdateformatter><nstimezone>"
"51149641","1","2018-07-03 08:11:57","<c#><unity3d><button>"
"51149643","2","2018-07-03 08:12:03",""
"51149645","1","2018-07-03 08:12:17","<plugins><eclipse-plugin><editor><eclipse-cdt><plugin.xml>"
"51149646","2","2018-07-03 08:12:17",""
"51149647","2","2018-07-03 08:12:21",""
"51149648","2","2018-07-03 08:12:24",""
"51149649","1","2018-07-03 08:12:26","<c#><azure><asp.net-web-api><azure-application-insights><actionfilterattribute>"
"51149650","2","2018-07-03 08:12:29",""
"51149652","2","2018-07-03 08:12:34",""
"51149653","2","2018-07-03 08:12:36",""
"51149654","2","2018-07-03 08:12:37",""
"51149655","2","2018-07-03 08:12:40",""
"51149657","2","2018-07-03 08:12:46",""
"51149660","2","2018-07-03 08:12:55",""
"51149661","2","2018-07-03 08:12:56",""
"51149663","1","2018-07-03 08:13:07","<javascript><reactjs><gulp>"
"51149665","2","2018-07-03 08:13:10",""
"51149666","2","2018-07-03 08:13:13",""
"51149667","1","2018-07-03 08:13:13","<node.js><api>"
"51149670","2","2018-07-03 08:13:22",""
"51149671","2","2018-07-03 08:13:24",""
"51149672","1","2018-07-03 08:13:25","<javascript><c#><visual-studio>"
"51149673","1","2018-07-03 08:13:26","<javascript><arrays>"
"51149674","2","2018-07-03 08:13:30",""
"51149676","2","2018-07-03 08:13:36",""
"51149679","1","2018-07-03 08:13:46","<amazon-web-services>"
"51149680","1","2018-07-03 08:13:55","<python><python-3.x><discord><discord.py>"
"51149681","2","2018-07-03 08:13:59",""
"51149682","2","2018-07-03 08:14:03",""
"51149684","2","2018-07-03 08:14:12",""
"51149685","2","2018-07-03 08:14:13",""
"51149686","1","2018-07-03 08:14:21","<maven><maven-3><maven-plugin><maven-archetype>"
"51149687","2","2018-07-03 08:14:22",""
"51149688","1","2018-07-03 08:14:25","<uiview><sprite-kit>"
"51151009","2","2018-07-03 09:26:02",""
"51151011","2","2018-07-03 09:26:07",""
"51151013","2","2018-07-03 09:26:18",""
"51151014","2","2018-07-03 09:26:22",""
"51151015","1","2018-07-03 09:26:45","<python><json><python-3.x><list><dictionary>"
"51151016","1","2018-07-03 09:26:46","<c++><wrapper><linear-algebra><eigen>"
"51151017","2","2018-07-03 09:26:50",""
"51151019","1","2018-07-03 09:26:52","<office365><azure-active-directory><exchange-server>"
"51151020","2","2018-07-03 09:26:58",""
"51151021","2","2018-07-03 09:27:03",""
"51151023","2","2018-07-03 09:27:07",""
"51151024","2","2018-07-03 09:27:09",""
"51151025","1","2018-07-03 09:27:10","<typo3><extbase>"
"51151026","2","2018-07-03 09:27:15",""
"51151027","2","2018-07-03 09:27:18",""
"51151028","2","2018-07-03 09:27:18",""
"51151030","2","2018-07-03 09:27:21",""
"51151031","2","2018-07-03 09:27:22",""
"51151032","2","2018-07-03 09:27:24",""
"51151033","2","2018-07-03 09:27:26",""
"51151034","1","2018-07-03 09:27:26","<ios><swift><uinavigationcontroller><uitabbarcontroller>"
"51151035","2","2018-07-03 09:27:26",""
"51151036","1","2018-07-03 09:27:27","<php><ios><woocommerce>"
"51151038","2","2018-07-03 09:27:29",""
"51151039","1","2018-07-03 09:27:31","<ios><swift><uitableview><uitabbarcontroller>"
"51151040","1","2018-07-03 09:27:32","<.net><asp.net-core><.net-core><asp.net-core-2.0>"
"51151041","1","2018-07-03 09:27:34","<plsql>"
"51151042","2","2018-07-03 09:27:35",""
"51151044","2","2018-07-03 09:27:41",""
"51151045","2","2018-07-03 09:27:45",""
"51151047","2","2018-07-03 09:27:50",""
"51151048","2","2018-07-03 09:27:51",""
"51151049","1","2018-07-03 09:27:54","<r><pdf><datatable><shiny><download>"
"51151050","2","2018-07-03 09:27:55",""
"51151052","2","2018-07-03 09:27:58",""
"51151053","2","2018-07-03 09:28:00",""
"51151054","2","2018-07-03 09:28:00",""
"51151055","1","2018-07-03 09:28:04","<android><android-recyclerview>"
"51151057","2","2018-07-03 09:28:05",""
"51151058","1","2018-07-03 09:28:10","<wordpress><archive><categories><taxonomy-terms><custom-field-type>"
"51151059","2","2018-07-03 09:28:13",""
"51151060","2","2018-07-03 09:28:14",""
"51151061","1","2018-07-03 09:28:18","<ecmascript-6><closures>"
"51151062","2","2018-07-03 09:28:20",""
"51151063","1","2018-07-03 09:28:25","<javascript><jquery><datatables>"
"51151066","1","2018-07-03 09:28:36","<java><swing><jbutton>"
"51151068","2","2018-07-03 09:28:47",""
"51151069","2","2018-07-03 09:28:49",""
"51151070","2","2018-07-03 09:28:53",""
"51151071","1","2018-07-03 09:28:57","<c#><bitmap><image-manipulation><bmp>"
"51151073","2","2018-07-03 09:29:00",""
"51151074","2","2018-07-03 09:29:02",""
"51151075","1","2018-07-03 09:29:03","<reactjs><material-ui><redux-form>"
"51151076","2","2018-07-03 09:29:04",""
"51151077","2","2018-07-03 09:29:12",""
"51151078","1","2018-07-03 09:29:14","<python><pandas>"
"51151079","2","2018-07-03 09:29:18",""
"51151081","1","2018-07-03 09:29:22","<reactjs>"
"51151082","2","2018-07-03 09:29:23",""
"51151083","2","2018-07-03 09:29:23",""
"51151084","2","2018-07-03 09:29:26",""
"51151087","2","2018-07-03 09:29:30",""
"51151088","2","2018-07-03 09:29:33",""
"51151091","2","2018-07-03 09:29:35",""
"51151092","2","2018-07-03 09:29:37",""
"51151095","2","2018-07-03 09:29:46",""
"51151096","2","2018-07-03 09:29:48",""
"51151097","1","2018-07-03 09:29:49","<ios><swift><mapbox>"
"51151098","1","2018-07-03 09:29:53","<c++><vector><stl><erase>"
"51151099","1","2018-07-03 09:29:54","<jquery><json><ajax><codeigniter-3>"
"51151100","1","2018-07-03 09:29:55","<php><laravel><laravel-blade>"
"51151101","2","2018-07-03 09:29:57",""
"51151102","2","2018-07-03 09:30:12",""
"51151103","1","2018-07-03 09:30:13","<android><android-fragments><timer>"
"51151104","2","2018-07-03 09:30:18",""
"51151105","2","2018-07-03 09:30:20",""
"51151107","1","2018-07-03 09:30:27","<r><shiny>"
"51151108","2","2018-07-03 09:30:33",""
"51151111","2","2018-07-03 09:30:42",""
"51151112","2","2018-07-03 09:30:44",""
"51151113","2","2018-07-03 09:30:49",""
"51151114","2","2018-07-03 09:30:50",""
"51151115","1","2018-07-03 09:30:55","<jquery><asp.net-mvc-4><paypal><paypal-sandbox>"
"51151118","1","2018-07-03 09:30:58","<vba><excel>"
"51151119","1","2018-07-03 09:31:00","<ios><swift3><uicollectionview><uicollectionviewcell><uicollectionviewlayout>"
"51151120","1","2018-07-03 09:31:13","<f#>"
"51151121","1","2018-07-03 09:31:15","<reactjs><webpack><webpack-dev-server><webpack-serve>"
"51151123","2","2018-07-03 09:31:20",""
"51151124","2","2018-07-03 09:31:20",""
"51151125","1","2018-07-03 09:31:22","<java><excel><apache-poi><xssf>"
"51151127","2","2018-07-03 09:31:24",""
"51151128","1","2018-07-03 09:31:24","<c#><windows><voice-recognition><dictation>"
"51151129","2","2018-07-03 09:31:25",""
"51151130","2","2018-07-03 09:31:31",""
"51151131","1","2018-07-03 09:31:32","<windows><batch-file><cmd><proxy><internet-options>"
"51151134","1","2018-07-03 09:31:41","<kibana><kibana-5>"
"51151135","2","2018-07-03 09:31:44",""
"51151136","1","2018-07-03 09:31:45","<php><mysql><sql><ajax><mysqli>"
"51151138","1","2018-07-03 09:31:54","<ios><swift>"
"51151139","5","2018-07-03 09:31:56",""
"51151140","4","2018-07-03 09:31:56",""
"51151142","1","2018-07-03 09:31:57","<php><pdf><encryption>"
"51151143","2","2018-07-03 09:32:02",""
"51151144","1","2018-07-03 09:32:04","<mysql><sql><ruby-on-rails><postgresql><activerecord>"
"51151145","1","2018-07-03 09:32:05","<javascript><jquery><syntax><line-breaks>"
"51151146","1","2018-07-03 09:32:12","<c>"
"51151147","1","2018-07-03 09:32:16","<r><sapply><mapply>"
"51151150","2","2018-07-03 09:32:34",""
"51151151","2","2018-07-03 09:32:35",""
"51151152","2","2018-07-03 09:32:36",""
"51151154","2","2018-07-03 09:32:44",""
"51151155","2","2018-07-03 09:32:49",""
"51151158","2","2018-07-03 09:32:52",""
"51151160","2","2018-07-03 09:33:02",""
"51151161","1","2018-07-03 09:33:03","<shell><powershell><command-line><active-directory><ldap>"
"51151163","1","2018-07-03 09:33:11","<javascript><forms><vue.js>"
"51151165","2","2018-07-03 09:33:15",""
"51151166","1","2018-07-03 09:33:24","<c><bit-shift>"
"51151169","1","2018-07-03 09:33:28","<r><model.matrix>"
"51151170","2","2018-07-03 09:33:28",""
"51151172","2","2018-07-03 09:33:31",""
"51151173","1","2018-07-03 09:33:39","<javascript><jquery>"
"51151175","1","2018-07-03 09:33:44","<asp.net-web-api><.net-core>"
"51151176","1","2018-07-03 09:33:44","<jdbc><jboss><wildfly><keycloak><galera>"
"51151177","1","2018-07-03 09:33:50","<java><memory-management><garbage-collection><heap-memory><g1gc>"
"51151178","2","2018-07-03 09:33:52",""
"51151179","1","2018-07-03 09:33:53","<excel><vba>"
"51151180","1","2018-07-03 09:33:53","<gatsby>"
"51151181","2","2018-07-03 09:33:54",""
"51151182","1","2018-07-03 09:34:00","<java><android>"
"51151183","1","2018-07-03 09:34:02","<cookies><iframe><asp.net-core><identityserver4><c3.js>"
"51151184","2","2018-07-03 09:34:05",""
"51151185","2","2018-07-03 09:34:07",""
"51151186","1","2018-07-03 09:34:07","<angular><karma-jasmine><angular-unit-test>"
"51151187","2","2018-07-03 09:34:09",""
